<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: primitive_matrix_486.csv>index,domain,family_index,family,atom_index,primitive_id,primitive
369,FENG_SHUI_SPATIAL,6,Orientation,1,FENG_SHUI_SPATIAL.6.1,front
370,FENG_SHUI_SPATIAL,6,Orientation,2,FENG_SHUI_SPATIAL.6.2,back
371,FENG_SHUI_SPATIAL,6,Orientation,3,FENG_SHUI_SPATIAL.6.3,left
372,FENG_SHUI_SPATIAL,6,Orientation,4,FENG_SHUI_SPATIAL.6.4,right
373,FENG_SHUI_SPATIAL,6,Orientation,5,FENG_SHUI_SPATIAL.6.5,up
374,FENG_SHUI_SPATIAL,6,Orientation,6,FENG_SHUI_SPATIAL.6.6,down
375,FENG_SHUI_SPATIAL,6,Orientation,7,FENG_SHUI_SPATIAL.6.7,sun/light direction
376,FENG_SHUI_SPATIAL,6,Orientation,8,FENG_SHUI_SPATIAL.6.8,view direction
377,FENG_SHUI_SPATIAL,6,Orientation,9,FENG_SHUI_SPATIAL.6.9,cardinal orientation
378,FENG_SHUI_SPATIAL,7,Balance,1,FENG_SHUI_SPATIAL.7.1,yin/yang metaphor
379,FENG_SHUI_SPATIAL,7,Balance,2,FENG_SHUI_SPATIAL.7.2,active/restful
380,FENG_SHUI_SPATIAL,7,Balance,3,FENG_SHUI_SPATIAL.7.3,open/closed
381,FENG_SHUI_SPATIAL,7,Balance,4,FENG_SHUI_SPATIAL.7.4,light/dark
382,FENG_SHUI_SPATIAL,7,Balance,5,FENG_SHUI_SPATIAL.7.5,hard/soft
383,FENG_SHUI_SPATIAL,7,Balance,6,FENG_SHUI_SPATIAL.7.6,dense/sparse
384,FENG_SHUI_SPATIAL,7,Balance,7,FENG_SHUI_SPATIAL.7.7,warm/cool
385,FENG_SHUI_SPATIAL,7,Balance,8,FENG_SHUI_SPATIAL.7.8,symmetry/asymmetry
386,FENG_SHUI_SPATIAL,7,Balance,9,FENG_SHUI_SPATIAL.7.9,stable/dynamic
387,FENG_SHUI_SPATIAL,8,Material & light,1,FENG_SHUI_SPATIAL.8.1,daylight
388,FENG_SHUI_SPATIAL,8,Material & light,2,FENG_SHUI_SPATIAL.8.2,shadow
389,FENG_SHUI_SPATIAL,8,Material & light,3,FENG_SHUI_SPATIAL.8.3,air
390,FENG_SHUI_SPATIAL,8,Material & light,4,FENG_SHUI_SPATIAL.8.4,wood
391,FENG_SHUI_SPATIAL,8,Material & light,5,FENG_SHUI_SPATIAL.8.5,stone
392,FENG_SHUI_SPATIAL,8,Material & light,6,FENG_SHUI_SPATIAL.8.6,metal
393,FENG_SHUI_SPATIAL,8,Material & light,7,FENG_SHUI_SPATIAL.8.7,water
394,FENG_SHUI_SPATIAL,8,Material & light,8,FENG_SHUI_SPATIAL.8.8,planting
395,FENG_SHUI_SPATIAL,8,Material & light,9,FENG_SHUI_SPATIAL.8.9,color
396,FENG_SHUI_SPATIAL,9,Human fit,1,FENG_SHUI_SPATIAL.9.1,reach
397,FENG_SHUI_SPATIAL,9,Human fit,2,FENG_SHUI_SPATIAL.9.2,visibility
398,FENG_SHUI_SPATIAL,9,Human fit,3,FENG_SHUI_SPATIAL.9.3,comfort
399,FENG_SHUI_SPATIAL,9,Human fit,4,FENG_SHUI_SPATIAL.9.4,wayfinding
400,FENG_SHUI_SPATIAL,9,Human fit,5,FENG_SHUI_SPATIAL.9.5,clutter
401,FENG_SHUI_SPATIAL,9,Human fit,6,FENG_SHUI_SPATIAL.9.6,accessibility
402,FENG_SHUI_SPATIAL,9,Human fit,7,FENG_SHUI_SPATIAL.9.7,social distance
403,FENG_SHUI_SPATIAL,9,Human fit,8,FENG_SHUI_SPATIAL.9.8,task fit
404,FENG_SHUI_SPATIAL,9,Human fit,9,FENG_SHUI_SPATIAL.9.9,personal meaning
405,ART_BEAUTY,1,Geometry,1,ART_BEAUTY.1.1,point
406,ART_BEAUTY,1,Geometry,2,ART_BEAUTY.1.2,line
407,ART_BEAUTY,1,Geometry,3,ART_BEAUTY.1.3,curve
408,ART_BEAUTY,1,Geometry,4,ART_BEAUTY.1.4,angle
409,ART_BEAUTY,1,Geometry,5,ART_BEAUTY.1.5,shape
410,ART_BEAUTY,1,Geometry,6,ART_BEAUTY.1.6,plane
411,ART_BEAUTY,1,Geometry,7,ART_BEAUTY.1.7,volume
412,ART_BEAUTY,1,Geometry,8,ART_BEAUTY.1.8,proportion
413,ART_BEAUTY,1,Geometry,9,ART_BEAUTY.1.9,scale
414,ART_BEAUTY,2,Light & value,1,ART_BEAUTY.2.1,light
415,ART_BEAUTY,2,Light & value,2,ART_BEAUTY.2.2,shadow
416,ART_BEAUTY,2,Light & value,3,ART_BEAUTY.2.3,highlight
417,ART_BEAUTY,2,Light & value,4,ART_BEAUTY.2.4,midtone
418,ART_BEAUTY,2,Light & value,5,ART_BEAUTY.2.5,dark
419,ART_BEAUTY,2,Light & value,6,ART_BEAUTY.2.6,contrast
420,ART_BEAUTY,2,Light & value,7,ART_BEAUTY.2.7,gradient
421,ART_BEAUTY,2,Light & value,8,ART_BEAUTY.2.8,edge
422,ART_BEAUTY,2,Light & value,9,ART_BEAUTY.2.9,value grouping
423,ART_BEAUTY,3,Color,1,ART_BEAUTY.3.1,hue
424,ART_BEAUTY,3,Color,2,ART_BEAUTY.3.2,saturation
425,ART_BEAUTY,3,Color,3,ART_BEAUTY.3.3,lightness
426,ART_BEAUTY,3,Color,4,ART_BEAUTY.3.4,temperature
427,ART_BEAUTY,3,Color,5,ART_BEAUTY.3.5,complement
428,ART_BEAUTY,3,Color,6,ART_BEAUTY.3.6,analogy
429,ART_BEAUTY,3,Color,7,ART_BEAUTY.3.7,accent
430,ART_BEAUTY,3,Color,8,ART_BEAUTY.3.8,palette
431,ART_BEAUTY,3,Color,9,ART_BEAUTY.3.9,color context
432,ART_BEAUTY,4,Texture,1,ART_BEAUTY.4.1,smooth
433,ART_BEAUTY,4,Texture,2,ART_BEAUTY.4.2,rough
434,ART_BEAUTY,4,Texture,3,ART_BEAUTY.4.3,soft
435,ART_BEAUTY,4,Texture,4,ART_BEAUTY.4.4,hard
436,ART_BEAUTY,4,Texture,5,ART_BEAUTY.4.5,fine
437,ART_BEAUTY,4,Texture,6,ART_BEAUTY.4.6,coarse
438,ART_BEAUTY,4,Texture,7,ART_BEAUTY.4.7,repetition
439,ART_BEAUTY,4,Texture,8,ART_BEAUTY.4.8,material cue
440,ART_BEAUTY,4,Texture,9,ART_BEAUTY.4.9,surface variation
441,ART_BEAUTY,5,Space,1,ART_BEAUTY.5.1,positive space
442,ART_BEAUTY,5,Space,2,ART_BEAUTY.5.2,negative space
443,ART_BEAUTY,5,Space,3,ART_BEAUTY.5.3,depth
444,ART_BEAUTY,5,Space,4,ART_BEAUTY.5.4,overlap
445,ART_BEAUTY,5,Space,5,ART_BEAUTY.5.5,perspective
446,ART_BEAUTY,5,Space,6,ART_BEAUTY.5.6,margin
447,ART_BEAUTY,5,Space,7,ART_BEAUTY.5.7,padding
448,ART_BEAUTY,5,Space,8,ART_BEAUTY.5.8,density
449,ART_BEAUTY,5,Space,9,ART_BEAUTY.5.9,breathing room
450,ART_BEAUTY,6,Hierarchy,1,ART_BEAUTY.6.1,focal point
451,ART_BEAUTY,6,Hierarchy,2,ART_BEAUTY.6.2,primary
452,ART_BEAUTY,6,Hierarchy,3,ART_BEAUTY.6.3,secondary
453,ART_BEAUTY,6,Hierarchy,4,ART_BEAUTY.6.4,tertiary
454,ART_BEAUTY,6,Hierarchy,5,ART_BEAUTY.6.5,emphasis
455,ART_BEAUTY,6,Hierarchy,6,ART_BEAUTY.6.6,subordination
456,ART_BEAUTY,6,Hierarchy,7,ART_BEAUTY.6.7,grouping
457,ART_BEAUTY,6,Hierarchy,8,ART_BEAUTY.6.8,alignment
458,ART_BEAUTY,6,Hierarchy,9,ART_BEAUTY.6.9,reading order
459,ART_BEAUTY,7,Rhythm,1,ART_BEAUTY.7.1,repetition
460,ART_BEAUTY,7,Rhythm,2,ART_BEAUTY.7.2,alternation
461,ART_BEAUTY,7,Rhythm,3,ART_BEAUTY.7.3,progression
462,ART_BEAUTY,7,Rhythm,4,ART_BEAUTY.7.4,interval
463,ART_BEAUTY,7,Rhythm,5,ART_BEAUTY.7.5,tempo
464,ART_BEAUTY,7,Rhythm,6,ART_BEAUTY.7.6,pattern
465,ART_BEAUTY,7,Rhythm,7,ART_BEAUTY.7.7,symmetry
466,ART_BEAUTY,7,Rhythm,8,ART_BEAUTY.7.8,asymmetry
467,ART_BEAUTY,7,Rhythm,9,ART_BEAUTY.7.9,movement
468,ART_BEAUTY,8,Figure / ground,1,ART_BEAUTY.8.1,figure
469,ART_BEAUTY,8,Figure / ground,2,ART_BEAUTY.8.2,ground
470,ART_BEAUTY,8,Figure / ground,3,ART_BEAUTY.8.3,silhouette
471,ART_BEAUTY,8,Figure / ground,4,ART_BEAUTY.8.4,contour
472,ART_BEAUTY,8,Figure / ground,5,ART_BEAUTY.8.5,closure
473,ART_BEAUTY,8,Figure / ground,6,ART_BEAUTY.8.6,proximity
474,ART_BEAUTY,8,Figure / ground,7,ART_BEAUTY.8.7,similarity
475,ART_BEAUTY,8,Figure / ground,8,ART_BEAUTY.8.8,continuity
476,ART_BEAUTY,8,Figure / ground,9,ART_BEAUTY.8.9,common region
477,ART_BEAUTY,9,Human meaning,1,ART_BEAUTY.9.1,legibility
478,ART_BEAUTY,9,Human meaning,2,ART_BEAUTY.9.2,recognition
479,ART_BEAUTY,9,Human meaning,3,ART_BEAUTY.9.3,memory
480,ART_BEAUTY,9,Human meaning,4,ART_BEAUTY.9.4,emotion
481,ART_BEAUTY,9,Human meaning,5,ART_BEAUTY.9.5,symbol
482,ART_BEAUTY,9,Human meaning,6,ART_BEAUTY.9.6,culture
483,ART_BEAUTY,9,Human meaning,7,ART_BEAUTY.9.7,accessibility
484,ART_BEAUTY,9,Human meaning,8,ART_BEAUTY.9.8,context
485,ART_BEAUTY,9,Human meaning,9,ART_BEAUTY.9.9,taste/preference
